Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
Litton Das,Opener,,71.0,22.3,124.5,,,,Bangladesh,
Mohammad Naim,Opener,,29.0,22.4,121.1,,,,Bangladesh,
Shakib Al Hasan,All-rounder,Off spin,94.0,23.8,128.6,94.0,140.0,6.8,Bangladesh,21.5
Mushfiqur Rahim,Middle-order,,84.0,21.4,116.2,,,,Bangladesh,
Mahmudullah,"Middle-order,All-rounder",Off spin,76.0,23.2,122.8,,,,Bangladesh,
Afif Hossain,"Finisher,All-rounder",Off spin,48.0,19.1,126.4,22.0,22.0,7.6,Bangladesh,30.0
Mahedi Hasan,All-rounder,Off spin,27.0,15.2,115.3,27.0,28.0,7.1,Bangladesh,25.5
Mehidy Hasan Miraz,All-rounder,Off spin,24.0,15.9,114.2,24.0,24.0,6.9,Bangladesh,24.0
Mustafizur Rahman,Bowler,Fast,,,,87.0,106.0,7.7,Bangladesh,20.0
Taskin Ahmed,Bowler,Fast,,,,48.0,60.0,8.0,Bangladesh,21.5
Shoriful Islam,Bowler,Fast,,,,28.0,30.0,7.9,Bangladesh,23.5
Chris Gayle,Opener,Off spin,75.0,27.93,137.51,,,,WI,
Dwayne Smith,Opener,Medium pace,26.0,21.42,148.2,12.0,6.0,7.8,WI,36.0
Marlon Samuels,Middle-order,Off spin,43.0,29.95,123.98,15.0,8.0,7.47,WI,34.5
Darren Bravo,Middle-order,,33.0,22.82,115.82,,,,WI,
Kieron Pollard,"Finisher,All-rounder",Medium pace,83.0,25.31,135.15,55.0,42.0,8.33,WI,26.5
Andre Russell,"Finisher,All-rounder",Fast,75.0,22.0,163.8,67.0,61.0,9.43,WI,18.0
Dwayne Bravo,"Finisher,All-rounder",Medium pace,74.0,22.02,115.14,66.0,78.0,8.12,WI,21.0
Sunil Narine,All-rounder,Off spin,51.0,12.47,70.98,51.0,52.0,6.02,WI,23.5
Samuel Badree,Bowler,Leg spin,,,,52.0,54.0,6.75,WI,20.0
Jerome Taylor,Bowler,Fast,,,,28.0,26.0,8.1,WI,22.8
