,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Mat,0.0,5.595773834776565e-79,4.271293615058375e-15,5.28447891583526e-23,0.0695925026947618,0.8029912495654542,1.1219970180942453e-24,0.0448236931791396,0.03524134657991036,9.933367771711957e-06,2.409290799912308e-05,1.226774425736862e-11,1.7781943406881778e-14
Inns,5.595773834776565e-79,0.0,1.452883259054328e-11,5.939785810995619e-28,0.027370652441467136,0.8241554843683911,5.7006448979833694e-30,0.02830789630632458,0.011627845840402315,2.4351675939151e-07,3.1343311250070744e-06,2.105142092394865e-15,4.4083836130450785e-16
NO,4.271293615058375e-15,1.452883259054328e-11,0.0,5.678548689676477e-06,0.5915272432152305,0.003971188080839009,5.615271410299939e-06,0.10221002061124128,0.781092454958294,0.15791007843728688,0.44540995463134253,0.0646243824132403,0.0003192006981146672
Runs,5.28447891583526e-23,5.939785810995619e-28,5.678548689676477e-06,0.0,3.653700619825647e-06,4.2598598831027814e-06,2.851589934840814e-69,0.00010473342041450254,5.7314773860464624e-08,9.408015555650126e-30,0.01720227030550913,1.8243314313715263e-44,4.291919153936527e-22
HS,0.0695925026947618,0.027370652441467136,0.5915272432152305,3.653700619825647e-06,0.0,0.0005478251033554696,5.6126943479824104e-05,0.0019914401287692684,1.7607742622086618e-08,2.562290909731872e-06,0.2969421267583986,3.8912626760248955e-08,0.00033561831004058835
Ave,0.8029912495654542,0.8241554843683911,0.003971188080839009,4.2598598831027814e-06,0.0005478251033554696,0.0,0.00011662167853311916,0.00025404503952923194,0.00014808439638914998,2.912196101633377e-11,0.00034058038623672814,1.0634792755347555e-05,0.010222938865824547
BF,1.1219970180942453e-24,5.7006448979833694e-30,5.615271410299939e-06,2.851589934840814e-69,5.6126943479824104e-05,0.00011662167853311916,0.0,0.0915734792940333,3.5848469993894775e-05,1.3882633174421411e-24,0.013205514279597388,1.1705593877023023e-40,4.882171670842841e-15
SR,0.0448236931791396,0.02830789630632458,0.10221002061124128,0.00010473342041450254,0.0019914401287692684,0.00025404503952923194,0.0915734792940333,0.0,5.801974206630857e-09,0.00015130626435844752,0.5330448848869207,0.0017340253431579126,1.5019571369642553e-12
100,0.03524134657991036,0.011627845840402315,0.781092454958294,5.7314773860464624e-08,1.7607742622086618e-08,0.00014808439638914998,3.5848469993894775e-05,5.801974206630857e-09,0.0,1.6976740273782774e-08,0.49848915044608133,2.5027924148928005e-07,3.876640757981564e-12
50,9.933367771711957e-06,2.4351675939151e-07,0.15791007843728688,9.408015555650126e-30,2.562290909731872e-06,2.912196101633377e-11,1.3882633174421411e-24,0.00015130626435844752,1.6976740273782774e-08,0.0,0.30726301297478054,4.189997335038814e-31,2.6863616428301196e-12
0,2.409290799912308e-05,3.1343311250070744e-06,0.44540995463134253,0.01720227030550913,0.2969421267583986,0.00034058038623672814,0.013205514279597388,0.5330448848869207,0.49848915044608133,0.30726301297478054,0.0,0.0128433787140531,0.04556357603658798
4s,1.226774425736862e-11,2.105142092394865e-15,0.0646243824132403,1.8243314313715263e-44,3.8912626760248955e-08,1.0634792755347555e-05,1.1705593877023023e-40,0.0017340253431579126,2.5027924148928005e-07,4.189997335038814e-31,0.0128433787140531,0.0,1.1636245948516025e-10
6s,1.7781943406881778e-14,4.4083836130450785e-16,0.0003192006981146672,4.291919153936527e-22,0.00033561831004058835,0.010222938865824547,4.882171670842841e-15,1.5019571369642553e-12,3.876640757981564e-12,2.6863616428301196e-12,0.04556357603658798,1.1636245948516025e-10,0.0
