Player,Country,Career,Matches,Won,Lost,Tied/No Result,Toss
C Munoz-Mills*,Spain,2019-,46,"38 (82.61%)","7 (15.22%)","1 (2.17%)","24 (52.17%)"
R G Sharma*,India,2007-,62,"50 (80.65%)","12 (19.35%)","0 (0.00%)","32 (51.61%)"
Asghar Afghan,Afghanistan,2010-2021,51,"41 (80.39%)","10 (19.61%)","0 (0.00%)","22 (43.14%)"
S A Yadav*,India,2021-,38,"30 (78.95%)","6 (15.79%)","2 (5.26%)","15 (39.47%)"
Sarfaraz Ahmed*,Pakistan,2010-2021,37,"29 (78.38%)","8 (21.62%)","0 (0.00%)","20 (54.05%)"
Aqib Iqbal*,Austria,2019-,45,"35 (77.78%)","9 (20.00%)","1 (2.22%)","26 (57.78%)"
Ahmer Bin Nisar*,Bahrain,2022-,40,"31 (77.50%)","7 (17.50%)","2 (5.00%)","12 (30.00%)"
B Masaba*,Uganda,2019-,60,"45 (75.00%)","12 (20.00%)","3 (5.00%)","33 (55.00%)"
M R Marsh*,Australia,2011-,35,"26 (74.29%)","6 (17.14%)","3 (8.57%)","21 (60.00%)"
C W Perchard*,Jersey,2019-,52,"38 (73.08%)","14 (26.92%)","0 (0.00%)","23 (44.23%)"
M D Patel*,United States,2019-,35,"25 (71.43%)","9 (25.71%)","1 (2.86%)","18 (51.43%)"
A R Patwa*,Tanzania,2021-,53,"36 (67.92%)","15 (28.30%)","2 (3.77%)","29 (54.72%)"
Syed Aziz*,Malaysia,2019-,37,"24 (64.86%)","11 (29.73%)","2 (5.41%)","21 (56.76%)"
V Kohli*,India,2010-,50,"32 (64.00%)","16 (32.00%)","2 (4.00%)","20 (40.00%)"
M G Erasmus*,Namibia,2019-,76,"48 (63.16%)","28 (36.84%)","0 (0.00%)","32 (42.11%)"
F du Plessis,South Africa,2012-2020,40,"25 (62.50%)","15 (37.50%)","0 (0.00%)","20 (50.00%)"
R Satheesan*,Romania,2019-,42,"26 (61.90%)","16 (38.10%)","0 (0.00%)","19 (45.24%)"
E J G Morgan,England,2009-2022,72,"44 (61.11%)","27 (37.50%)","1 (1.39%)","37 (51.39%)"
Salman Agha*,Pakistan,2024-,38,"23 (60.53%)","15 (39.47%)","0 (0.00%)","25 (65.79%)"
K Kadowaki-Fleming*,Japan,2022-,45,"27 (60.00%)","17 (37.78%)","1 (2.22%)","26 (57.78%)"
Muhammad Waseem*,United Arab Emirates,2021-,65,"39 (60.00%)","26 (40.00%)","0 (0.00%)","35 (53.85%)"
R K Paudel*,Nepal,2019-,55,"33 (60.00%)","20 (36.36%)","2 (3.64%)","31 (56.36%)"
D J G Sammy,West Indies,2007-2017,47,"28 (59.57%)","17 (36.17%)","2 (4.26%)","29 (61.70%)"
V Ganesan*,Germany,2019-,47,"28 (59.57%)","19 (40.43%)","0 (0.00%)","24 (51.06%)"
M S Dhoni,India,2006-2019,72,"42 (58.33%)","28 (38.89%)","2 (2.78%)","34 (47.22%)"
Zeeshan Maqsood*,Oman,2015-,48,"28 (58.33%)","20 (41.67%)","0 (0.00%)","23 (47.92%)"
Ahmed Faiz*,Malaysia,2019-,67,"39 (58.21%)","25 (37.31%)","3 (4.48%)","40 (59.70%)"
M J Santner*,New Zealand,2015-,40,"23 (57.50%)","12 (30.00%)","5 (12.50%)","20 (50.00%)"
P W Borren,Netherlands,2008-2017,37,"21 (56.76%)","15 (40.54%)","1 (2.70%)","19 (51.35%)"
P D Collingwood,England,2005-2017,30,"17 (56.67%)","11 (36.67%)","2 (6.67%)","14 (46.67%)"
Babar Azam*,Pakistan,2016-,85,"48 (56.47%)","30 (35.29%)","7 (8.24%)","37 (43.53%)"
M N M Aslam*,Kuwait,2019-,68,"38 (55.88%)","29 (42.65%)","1 (1.47%)","37 (54.41%)"
S O Ngoche*,Kenya,2010-,36,"20 (55.56%)","15 (41.67%)","1 (2.78%)","15 (41.67%)"
M A Baig*,Malawi,2019-,33,"18 (54.55%)","13 (39.39%)","2 (6.06%)","17 (51.52%)"
A Vala*,Papua New Guinea,2015-,61,"33 (54.10%)","27 (44.26%)","1 (1.64%)","26 (42.62%)"
A J Finch,Australia,2011-2022,76,"41 (53.95%)","32 (42.11%)","3 (3.95%)","48 (63.16%)"
Rashid Khan*,Afghanistan,2015-,41,"22 (53.66%)","19 (46.34%)","0 (0.00%)","24 (58.54%)"
Nizakat Khan*,Hong Kong,2014-,55,"29 (52.73%)","24 (43.64%)","2 (3.64%)","29 (52.73%)"
C R Ervine*,Zimbabwe,2010-,38,"20 (52.63%)","17 (44.74%)","1 (2.63%)","23 (60.53%)"
S A Okpe*,Nigeria,2019-,57,"30 (52.63%)","25 (43.86%)","2 (3.51%)","32 (56.14%)"
J C Buttler*,England,2011-,50,"26 (52.00%)","22 (44.00%)","2 (4.00%)","29 (58.00%)"
K S Williamson*,New Zealand,2011-,75,"39 (52.00%)","35 (46.67%)","1 (1.33%)","33 (44.00%)"
Sheraz Sheikh*,Belgium,2021-,31,"16 (51.61%)","15 (48.39%)","0 (0.00%)","15 (48.39%)"
