Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
Litton Das,Opener,NA,71,22.30,124.50,NA,NA,NA,Bangladesh,NA
Mohammad Naim,Opener,NA,29,22.40,121.10,NA,NA,NA,Bangladesh,NA
Shakib Al Hasan,All-rounder,Off spin,94,23.80,128.60,94,140,6.80,Bangladesh,21.5
Mushfiqur Rahim,Middle-order,NA,84,21.40,116.20,NA,NA,NA,Bangladesh,NA
Mahmudullah,"Middle-order,All-rounder",Off spin,76,23.20,122.80,NA,NA,NA,Bangladesh,NA
Afif Hossain,"Finisher,All-rounder",Off spin,48,19.10,126.40,22,22,7.60,Bangladesh,30.0
Mahedi Hasan,All-rounder,Off spin,27,15.20,115.30,27,28,7.10,Bangladesh,25.5
Mehidy Hasan Miraz,All-rounder,Off spin,24,15.90,114.20,24,24,6.90,Bangladesh,24.0
Mustafizur Rahman,Bowler,Fast,NA,NA,NA,87,106,7.70,Bangladesh,20.0
Taskin Ahmed,Bowler,Fast,NA,NA,NA,48,60,8.00,Bangladesh,21.5
Shoriful Islam,Bowler,Fast,NA,NA,NA,28,30,7.90,Bangladesh,23.5

