Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
Jos Buttler,Opener,NA,119,34.80,144.30,NA,NA,NA,England,NA
Alex Hales,Opener,NA,75,30.31,136.55,NA,NA,NA,England,NA
Dawid Malan,Middle-order,NA,62,36.66,132.90,NA,NA,NA,England,NA
Ben Stokes,"Middle-order,All-rounder",Medium pace,84,22.40,134.10,49,26,8.36,England,31.0
Liam Livingstone,"Finisher,All-rounder",Leg spin,42,29.13,148.30,26,13,8.03,England,28.0
Moeen Ali,"Middle-order,All-rounder",Off spin,74,21.12,141.90,63,41,7.20,England,24.0
Sam Curran,"Finisher,All-rounder",Fast,44,18.70,136.40,47,46,8.15,England,20.5
Chris Woakes,All-rounder,Fast,40,12.66,118.30,46,31,7.86,England,27.5
Adil Rashid,Bowler,Leg spin,NA,NA,NA,123,123,7.43,England,19.0
Mark Wood,Bowler,Fast,NA,NA,NA,47,47,8.52,England,19.5
Reece Topley,Bowler,Fast,NA,NA,NA,45,45,8.31,England,21.0
