Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
David Warner,Opener,NA,103,33.40,142.60,NA,NA,NA,Australia,NA
Aaron Finch,Opener,NA,103,34.30,142.50,NA,NA,NA,Australia,NA
Mitchell Marsh,"Middle-order,All-rounder",Medium pace,54,28.10,135.80,29,17,8.40,Australia,30.5
Glenn Maxwell,"Finisher,All-rounder",Off spin,93,28.40,154.10,56,38,8.30,Australia,25.0
Marcus Stoinis,"Finisher,All-rounder",Medium pace,52,26.30,147.10,33,19,8.60,Australia,29.5
Matthew Wade,Finisher,NA,49,26.00,134.90,NA,NA,NA,Australia,NA
Pat Cummins,Bowler,Fast,NA,NA,NA,50,55,7.90,Australia,22.0
Mitchell Starc,Bowler,Fast,NA,NA,NA,63,79,8.40,Australia,19.0
Josh Hazlewood,Bowler,Fast,NA,NA,NA,60,64,7.70,Australia,23.5
Adam Zampa,Bowler,Leg spin,NA,NA,NA,86,94,7.60,Australia,21.0
Kane Richardson,Bowler,Fast,NA,NA,NA,42,42,8.10,Australia,24.0


