Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
Martin Guptill,Opener,NA,118,31.80,135.70,NA,NA,NA,New Zealand,NA
Finn Allen,Opener,NA,31,27.40,158.60,NA,NA,NA,New Zealand,NA
Kane Williamson,Middle-order,Off spin,87,32.10,123.10,12,6,7.80,New Zealand,34.0
Glenn Phillips,Middle-order,Off spin,52,30.10,147.20,18,7,8.40,New Zealand,36.5
Jimmy Neesham,"Finisher,All-rounder",Medium pace,66,24.10,142.30,55,49,8.40,New Zealand,26.0
Mitchell Santner,All-rounder,Off spin,74,16.50,114.60,74,84,6.80,New Zealand,22.0
Michael Bracewell,All-rounder,Off spin,18,22.80,150.40,15,13,7.60,New Zealand,25.5
Tim Southee,Bowler,Fast,NA,NA,NA,126,157,8.00,New Zealand,19.5
Trent Boult,Bowler,Fast,NA,NA,NA,55,74,7.90,New Zealand,20.0
Ish Sodhi,Bowler,Leg spin,NA,NA,NA,94,114,7.40,New Zealand,21.5
Lockie Ferguson,Bowler,Fast,NA,NA,NA,63,85,7.80,New Zealand,18.0

