Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
Quinton de Kock,Opener,NA,80,32.30,138.50,NA,NA,NA,South Africa,NA
Reeza Hendricks,Opener,NA,55,26.10,130.40,NA,NA,NA,South Africa,NA
Aiden Markram,"Middle-order,All-rounder",Off spin,41,25.80,146.30,21,8,8.10,South Africa,35.0
Rassie van der Dussen,Middle-order,NA,44,31.00,133.40,NA,NA,NA,South Africa,NA
David Miller,Finisher,NA,95,25.10,140.80,NA,NA,NA,South Africa,NA
Heinrich Klaasen,Finisher,NA,47,25.90,141.60,NA,NA,NA,South Africa,NA
Marco Jansen,All-rounder,Fast,19,16.40,133.10,19,20,8.20,South Africa,24.5
Kagiso Rabada,Bowler,Fast,NA,NA,NA,56,58,8.20,South Africa,22.0
Anrich Nortje,Bowler,Fast,NA,NA,NA,35,45,7.40,South Africa,18.5
Tabraiz Shamsi,Bowler,Leg spin,NA,NA,NA,65,89,6.90,South Africa,20.0
Lungi Ngidi,Bowler,Fast,NA,NA,NA,54,63,8.30,South Africa,21.5

