Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
Tillakaratne Dilshan,"Opener,All-rounder",Off spin,79,28.90,120.90,NA,NA,NA,Sri Lanka,NA
Kusal Perera,Opener,NA,60,26.10,136.20,NA,NA,NA,Sri Lanka,NA
Kumar Sangakkara,Middle-order,NA,48,31.80,123.40,NA,NA,NA,Sri Lanka,NA
Mahela Jayawardene,Middle-order,NA,55,31.40,134.30,NA,NA,NA,Sri Lanka,NA
Thisara Perera,"Finisher,All-rounder",Fast,78,20.30,141.10,73,97,8.10,Sri Lanka,19.0
Angelo Mathews,"Middle-order,All-rounder",Medium pace,59,25.30,124.60,49,41,8.00,Sri Lanka,28.0
Seekkuge Prasanna,"Finisher,All-rounder",Off spin,29,17.80,143.60,27,30,8.40,Sri Lanka,26.5
Lasith Malinga,Bowler,Fast,NA,NA,NA,84,107,7.40,Sri Lanka,18.5
Nuwan Kulasekara,Bowler,Fast,NA,NA,NA,58,66,7.30,Sri Lanka,23.0
Ajantha Mendis,Bowler,Off spin,NA,NA,NA,34,39,6.90,Sri Lanka,21.0
Rangana Herath,Bowler,Off spin,NA,NA,NA,17,18,6.80,Sri Lanka,24.0

