Player,Roles,Bowling_Type,Bat_Innings,Bat_Avg,Bat_SR,Bowl_Innings,Wickets,Economy,Team,Bowl_SR
Rahmanullah Gurbaz,Opener,NA,53,25.60,137.10,NA,NA,NA,Afghanistan,NA
Hazratullah Zazai,Opener,NA,42,22.20,144.50,NA,NA,NA,Afghanistan,NA
Ibrahim Zadran,Middle-order,NA,34,31.40,124.30,NA,NA,NA,Afghanistan,NA
Najibullah Zadran,Middle-order,NA,73,25.00,138.70,NA,NA,NA,Afghanistan,NA
Mohammad Nabi,All-rounder,Off spin,95,21.30,132.60,95,89,6.80,Afghanistan,24.0
Karim Janat,"Finisher,All-rounder",Medium pace,44,18.10,123.40,34,34,7.60,Afghanistan,30.0
Rashid Khan,All-rounder,Leg spin,80,18.10,133.40,80,130,6.20,Afghanistan,18.0
Mujeeb Ur Rahman,Bowler,Off spin,NA,NA,NA,49,66,6.30,Afghanistan,22.0
Naveen-ul-Haq,Bowler,Fast,NA,NA,NA,42,54,7.90,Afghanistan,20.5
Fazalhaq Farooqi,Bowler,Fast,NA,NA,NA,32,36,7.80,Afghanistan,21.0
Gulbadin Naib,"Middle-order,All-rounder",Medium pace,63,19.40,117.90,47,32,7.70,Afghanistan,28.5
