Player,Role,Bowling_Type,BAT_Span,BAT_Mat,BAT_Inns,BAT_NO,BAT_Runs,BAT_HS,BAT_Ave,BAT_BF,BAT_SR,BAT_100,BAT_50,BAT_4s,BAT_6s,BOWL_Span,BOWL_Mat,BOWL_Inns,BOWL_Overs,BOWL_Mdns,BOWL_Runs,BOWL_Wkts,BOWL_BBI,BOWL_Ave,BOWL_Econ,BOWL_SR,BOWL_4,BOWL_5
AD Mathews (SL),All-rounder,Medium pace,2009-2021,78,63,18,1148,81*,25.51,975,117.74,0,5,73,38,2009-2021,78,61,171.3,4,1200,38,3/16,31.57,6.99,27.0,0,0
DJ Bravo (WI),All-rounder,Medium pace,2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,73,55,2006-2021,91,77,250.5,0,2036,78,4/19,26.1,8.11,19.2,3,0
GJ Maxwell (AUS),"Opener,Finisher,All-rounder",Off spin,2012-2021,79,72,12,1844,145*,30.73,1184,155.74,3,9,153,94,2012-2021,79,53,122.0,0,911,33,3/10,27.6,7.46,22.1,0,0
KA Pollard (WI),All-rounder,Medium pace,2008-2021,93,76,16,1468,75*,24.46,1083,135.54,0,6,86,96,2008-2021,93,57,125.4,0,1062,38,4/25,27.94,8.45,19.8,1,0
KJ O'Brien (IRE),"Opener,All-rounder",Medium pace,2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,165,82,2008-2021,110,52,152.5,0,1149,58,4/45,19.81,7.51,15.8,1,0
Mahmudullah (BAN),"Opener,All-rounder",Off spin,2007-2021,113,105,23,1971,64*,24.03,1672,117.88,0,6,152,60,2007-2021,113,67,137.3,2,995,36,3/10,27.63,7.23,22.9,0,0
Mohammad Hafeez (PAK),"Opener,All-rounder",Off spin,2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,251,76,2006-2021,119,79,210.1,3,1388,61,4/10,22.75,6.6,20.6,1,0
Mohammad Nabi (AFG),"Opener,All-rounder,Finisher",Off spin,2010-2021,86,80,14,1523,89,23.07,1063,143.27,0,4,101,85,2010-2021,86,85,281.4,5,2041,73,4/10,27.95,7.24,23.1,3,0
NLTC Perera (ICC/SL/World),"All-rounder,Finisher",Medium pace,2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,88,64,2010-2021,84,67,183.4,1,1717,51,3/24,33.66,9.34,21.6,0,0
RD Berrington (SCOT),All-rounder,Medium pace,2008-2021,74,67,14,1694,100,31.96,1322,128.13,1,7,148,54,2008-2021,74,40,85.2,0,647,27,3/17,23.96,7.58,18.9,0,0
Rohan Mustafa (UAE),All-rounder,Off spin,2014-2021,46,44,2,766,77,18.23,627,122.16,0,3,91,22,2014-2021,46,44,143.5,3,968,49,4/18,19.75,6.73,17.6,1,0
SC Williams (ZIM),All-rounder,Off spin,2006-2021,50,50,6,1034,66,23.5,821,125.94,0,7,97,29,2006-2021,50,47,143.0,0,1038,33,3/15,31.45,7.25,26.0,0,0
SR Watson (AUS),"All-rounder,Finisher",Medium pace,2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,115,83,2006-2016,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0
Samiullah Shinwari (AFG),All-rounder,Off spin,2010-2020,64,56,10,1013,61,22.02,858,118.06,0,2,76,37,2010-2020,64,38,105.4,0,688,28,5/13,24.57,6.51,22.6,1,1
Shahid Afridi (ICC/PAK),"All-rounder,Finisher",Leg spin,2006-2018,99,91,12,1416,54*,17.92,944,150.0,0,4,103,73,2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
Shakib Al Hasan (BAN),"Opener,All-rounder",Off spin,2006-2021,94,93,10,1894,84,22.81,1572,120.48,0,9,193,38,2006-2021,94,93,347.3,3,2316,117,5/20,19.79,6.66,17.8,5,1
Shoaib Malik (ICC/PAK),"Opener,All-rounder",Off spin,2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,196,69,2006-2021,124,49,95.0,0,675,28,2/7,24.1,7.1,20.3,0,0
Yuvraj Singh (INDIA),All-rounder,Off spin,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,77,74,2007-2017,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0
