Player,Name,Found,Evidence,URL
S Dhawan (INDIA),S Dhawan,Opener,search page,https://en.wikipedia.org/w/index.php?search=S%20Dhawan&ns0=1
Tamim Iqbal (BAN/ICC/World),Tamim Iqbal,Opener,infobox: opening batter,https://en.wikipedia.org/wiki/Tamim_Iqbal
C Munro (NZ),C Munro,Middle-order,search page,https://en.wikipedia.org/w/index.php?search=C%20Munro&ns0=1
RD Berrington (SCOT),RD Berrington,,search page,https://en.wikipedia.org/w/index.php?search=RD%20Berrington&ns0=1
Umar Akmal (PAK),Umar Akmal,"Opener,Middle-order",page text,https://en.wikipedia.org/wiki/Umar_Akmal
AB de Villiers (SA),AB de Villiers,Opener,page text,https://en.wikipedia.org/wiki/AB_de_Villiers
H Masakadza (ZIM),H Masakadza,Opener,search page,https://en.wikipedia.org/w/index.php?search=H%20Masakadza&ns0=1
AD Hales (ENG),AD Hales,,search page,https://en.wikipedia.org/w/index.php?search=AD%20Hales&ns0=1
Mohammad Rizwan (PAK),Mohammad Rizwan,"Opener,Middle-order",page text,https://en.wikipedia.org/wiki/Mohammad_Rizwan
MS Dhoni (INDIA),MS Dhoni,Middle-order,page text,https://en.wikipedia.org/wiki/MS_Dhoni
MN Samuels (WI),MN Samuels,,search page,https://en.wikipedia.org/w/index.php?search=MN%20Samuels&ns0=1
SK Raina (INDIA),SK Raina,All-rounder,search page,https://en.wikipedia.org/w/index.php?search=SK%20Raina&ns0=1
MDKJ Perera (SL),MDKJ Perera,,search page,https://en.wikipedia.org/w/index.php?search=MDKJ%20Perera&ns0=1
F du Plessis (SA/World),F du Plessis,,search page,https://en.wikipedia.org/w/index.php?search=F%20du%20Plessis&ns0=1
LMP Simmons (WI),LMP Simmons,,search page,https://en.wikipedia.org/w/index.php?search=LMP%20Simmons&ns0=1
Mohammad Nabi (AFG),Mohammad Nabi,"Opener,All-rounder",page text,https://en.wikipedia.org/wiki/Mohammad_Nabi
KJ Coetzer (SCOT),KJ Coetzer,,search page,https://en.wikipedia.org/w/index.php?search=KJ%20Coetzer&ns0=1
DPMD Jayawardene (SL),DPMD Jayawardene,"Opener,Middle-order",page text,https://en.wikipedia.org/wiki/DPMD_Jayawardene
Ahmed Shehzad (PAK),Ahmed Shehzad,Opener,infobox: opening batter,https://en.wikipedia.org/wiki/Ahmed_Shehzad
KA Pollard (WI),KA Pollard,,search page,https://en.wikipedia.org/w/index.php?search=KA%20Pollard&ns0=1
Mushfiqur Rahim (BAN),Mushfiqur Rahim,"Opener,Middle-order,All-rounder",page text,https://en.wikipedia.org/wiki/Mushfiqur_Rahim
SR Watson (AUS),SR Watson,"Opener,Middle-order",search page,https://en.wikipedia.org/w/index.php?search=SR%20Watson&ns0=1
E Lewis (WI),E Lewis,,search page,https://en.wikipedia.org/w/index.php?search=E%20Lewis&ns0=1
Shahid Afridi (ICC/PAK),Shahid Afridi,"Opener,Middle-order,All-rounder",page text,https://en.wikipedia.org/wiki/Shahid_Afridi
KC Sangakkara (SL),KC Sangakkara,Opener,page text,https://en.wikipedia.org/wiki/KC_Sangakkara
