Player,Runs,Ave,SR,Role
V Kohli (INDIA),3227,52.04,137.9,"Opener,Middle-order"
Mohammad Rizwan (PAK),1639,51.21,128.95,Middle-order
Babar Azam (PAK),2620,45.17,129.12,Opener
DJ Malan (ENG),1239,41.3,137.2,Middle-order
KL Rahul (INDIA),1831,40.68,142.49,Opener
HE van der Dussen (SA),933,38.87,130.85,Middle-order
JP Duminy (SA),1934,38.68,126.24,Opener
KP Pietersen (ENG),1176,37.93,141.51,Middle-order
MS Dhoni (INDIA),1617,37.6,126.13,"Middle-order,Finisher"
Misbah-ul-Haq (PAK),788,37.52,110.2,Middle-order
