Player,Runs,Ave,SR,Role
C Munro (NZ),1724,31.34,156.44,Opener
GJ Maxwell (AUS),1844,30.73,155.74,"Opener,Finisher,All-rounder"
E Lewis (WI),1423,30.93,155.51,Opener
NLTC Perera (ICC/SL/World),1204,23.15,151.63,"All-rounder,Finisher"
Shahid Afridi (ICC/PAK),1416,17.92,150.0,"All-rounder,Finisher"
AJ Finch (AUS),2608,35.72,148.01,Opener
HG Munsey (SCOT),1270,27.6,146.31,Finisher
SR Watson (AUS),1462,29.24,145.32,"All-rounder,Finisher"
JJ Roy (ENG),1316,25.3,144.93,Finisher
Mohammad Nabi (AFG),1523,23.07,143.27,"Opener,All-rounder,Finisher"
